Sensor_Type,Ammonia_ppm,Methane_ppm,CO2_ppm,H2S_ppm,MQ-137 Ammonia,MQ-4 Methane,MQ136 H2S,SCD41 CO2
MQ136 H2S,175.3402014814927,194.13661928579825,1618.9842601440257,11.131787666842317,0.0,0.0,1.0,0.0
SCD41 CO2,183.08000515065606,357.0775812365442,3603.060242273493,17.504438608116903,0.0,0.0,0.0,1.0
MQ-137 Ammonia,105.13408159090736,85.8907785098196,1262.928139317304,18.59455757010239,1.0,0.0,0.0,0.0
MQ-4 Methane,52.835041352923696,201.54576054708082,3931.526788426206,15.607076105829671,0.0,1.0,0.0,0.0
MQ-137 Ammonia,26.44961190561571,371.14688639446877,843.5316220650468,11.371037424446035,1.0,0.0,0.0,0.0
MQ-137 Ammonia,28.454747026470752,369.8782534168065,3989.9687672296423,5.523647734665091,1.0,0.0,0.0,0.0
SCD41 CO2,160.1856401817579,486.650882706193,669.4090615852929,19.37959464123793,0.0,0.0,0.0,1.0
MQ136 H2S,91.8476074159228,301.9392465577009,3967.8822168213446,8.723546789371355,0.0,0.0,1.0,0.0
SCD41 CO2,107.63954823233495,61.07153573883127,1196.9799195932676,10.411336661654397,0.0,0.0,0.0,1.0
MQ-137 Ammonia,192.652268910617,314.4901870445131,4615.50895709733,15.440975499420245,1.0,0.0,0.0,0.0
MQ136 H2S,122.0950368056115,96.35774595061268,2581.0419331419607,12.08146343825133,0.0,0.0,1.0,0.0
MQ-137 Ammonia,24.164810984684276,337.74353266964886,4306.018599846341,11.024149329512069,1.0,0.0,0.0,0.0
SCD41 CO2,110.08923886346278,166.72149577404412,3432.7972960833317,3.3457414386693527,0.0,0.0,0.0,1.0
MQ-137 Ammonia,14.18662891371385,422.3141204760354,2699.207472448734,4.16221956452315,1.0,0.0,0.0,0.0
MQ-4 Methane,64.79628822688318,334.1277319998636,2672.6559283135675,14.651311155473831,0.0,1.0,0.0,0.0
MQ-4 Methane,54.34172949400938,486.15549756819706,4176.2823831749165,13.39878751793344,0.0,1.0,0.0,0.0
MQ-4 Methane,135.85365689587215,299.7586134722521,3362.5273704873953,5.919450695874581,0.0,1.0,0.0,0.0
MQ136 H2S,44.60340931098594,197.10832559164388,2686.0981266470153,6.68842459249866,0.0,0.0,1.0,0.0
MQ-4 Methane,65.72876920579996,408.8660046716157,2730.9946633727673,14.01346591612392,0.0,1.0,0.0,0.0
MQ-137 Ammonia,43.1302696580044,458.25011550593155,4083.6531559944638,9.38048919592674,1.0,0.0,0.0,0.0
SCD41 CO2,75.9023829271254,467.0454756929506,3594.202807502577,10.111891131166216,0.0,0.0,0.0,1.0
MQ-4 Methane,102.6594366471119,297.23384016354345,2232.2108523664624,2.871321187191567,0.0,1.0,0.0,0.0
MQ-137 Ammonia,15.028431389902895,366.9592065282727,2240.2413516708984,12.750124926038856,1.0,0.0,0.0,0.0
SCD41 CO2,188.99733406828312,245.41515281106496,338.45687955211963,14.32774806750938,0.0,0.0,0.0,1.0
MQ-137 Ammonia,8.251603745234306,432.60695868416843,868.5969411522804,17.433664695529078,1.0,0.0,0.0,0.0
SCD41 CO2,187.55566469017728,102.84049693222792,1082.8867174950592,7.108072001301668,0.0,0.0,0.0,1.0
SCD41 CO2,37.22250304586841,426.2090765419126,780.1379386085691,6.836790637747434,0.0,0.0,0.0,1.0
SCD41 CO2,60.10359717012741,270.2954139120933,1329.3558018900276,10.057922954577034,0.0,0.0,0.0,1.0
MQ136 H2S,142.88003486420752,137.78254907331075,4176.234002650861,1.8393558783585455,0.0,0.0,1.0,0.0
SCD41 CO2,95.77202773268218,205.72317078076023,2060.890270714576,11.100416929215179,0.0,0.0,0.0,1.0
MQ-137 Ammonia,123.48665038265524,262.29022021290893,2685.5900050532086,13.998646644277208,1.0,0.0,0.0,0.0
SCD41 CO2,150.09400567717495,287.8898140698497,3429.8556008488913,19.506827965086327,0.0,0.0,0.0,1.0
MQ-4 Methane,33.96691984454818,28.647090489393044,331.0868626158213,15.056790035713533,0.0,1.0,0.0,0.0
MQ136 H2S,76.34202553797103,365.0743570997431,1758.1473664463124,16.763026518751253,0.0,0.0,1.0,0.0
MQ136 H2S,30.169475329899313,383.6515371998171,4606.995929016427,11.454203323054754,0.0,0.0,1.0,0.0
MQ136 H2S,42.75193705984694,276.92576727907374,3386.2757068216592,15.832160693609321,0.0,0.0,1.0,0.0
SCD41 CO2,90.13062032969478,60.53685159794175,4763.454351223695,2.6639313088677237,0.0,0.0,0.0,1.0
MQ136 H2S,115.27528931080921,435.7322377765961,1291.3067041671065,15.969253533393546,0.0,0.0,1.0,0.0
MQ-137 Ammonia,28.88948087162151,453.9955037467749,3124.336859321073,17.8123134843444,1.0,0.0,0.0,0.0
MQ-137 Ammonia,73.12982830114746,372.2932191182471,636.6249411484082,19.755903015175075,1.0,0.0,0.0,0.0
MQ-137 Ammonia,172.17494289353027,293.4045896217838,1140.7226264174353,6.092343282763941,1.0,0.0,0.0,0.0
MQ-137 Ammonia,171.1967255566605,201.37948619119646,2154.978064878583,4.684133667434336,1.0,0.0,0.0,0.0
MQ136 H2S,167.25277692814723,69.30392997718377,4281.2067500873,14.222351258364178,0.0,0.0,1.0,0.0
SCD41 CO2,185.3300217253469,411.12915266400057,899.6290977584756,1.8547833604994834,0.0,0.0,0.0,1.0
MQ-4 Methane,33.178457956470645,82.83310564302083,1022.1050584984887,15.957219129273644,0.0,1.0,0.0,0.0
MQ-137 Ammonia,76.26461448887049,128.1673741861447,4455.347894066061,9.800043411223614,1.0,0.0,0.0,0.0
MQ-4 Methane,82.00170643344522,122.68095968234368,4793.342603614628,18.620644705437478,0.0,1.0,0.0,0.0
SCD41 CO2,110.31857693685363,361.6180161329395,2582.5354089080306,12.641329640385797,0.0,0.0,0.0,1.0
MQ-137 Ammonia,78.6143909749563,242.08164945929772,2804.2518216724484,14.150270332415518,1.0,0.0,0.0,0.0
MQ-4 Methane,73.20379063980543,192.9258477053649,3183.417867387035,2.1264455342334907,0.0,1.0,0.0,0.0
MQ-4 Methane,98.13671993454494,351.18601641593455,996.8939793277102,12.22894666098089,0.0,1.0,0.0,0.0
MQ136 H2S,108.95060632866975,358.2480914001213,323.972050119061,16.216535586838948,0.0,0.0,1.0,0.0
MQ-137 Ammonia,112.72144165191227,35.77418554723108,509.60712880706376,7.034384280904307,1.0,0.0,0.0,0.0
SCD41 CO2,94.3872434127998,254.5174569860877,3350.2817762500354,10.887978485284886,0.0,0.0,0.0,1.0
MQ-137 Ammonia,127.01721056695979,440.16552880848826,3031.3281804807884,11.112176277355756,1.0,0.0,0.0,0.0
MQ-4 Methane,125.09396811680926,121.17464620063045,1642.3206793352717,19.83383247804134,0.0,1.0,0.0,0.0
MQ-137 Ammonia,94.32149691961394,143.0126217681452,2732.229114361607,17.34432223529529,1.0,0.0,0.0,0.0
SCD41 CO2,107.65810535663064,424.14014901654,3010.9972982957675,1.6711802416032038,0.0,0.0,0.0,1.0
MQ-137 Ammonia,5.719198688867426,302.64376288683985,1688.3567388056467,19.363866572044714,1.0,0.0,0.0,0.0
MQ-4 Methane,143.858810898953,229.90548108898437,2726.6080356598036,9.036626216285464,0.0,1.0,0.0,0.0
SCD41 CO2,196.29386025606615,499.8091190187119,2176.0637568428156,15.462437392217497,0.0,0.0,0.0,1.0
MQ-4 Methane,116.33913068689866,211.18222150619118,842.5413418632692,1.6391445676605119,0.0,1.0,0.0,0.0
MQ-4 Methane,67.4630672660832,286.94734164648196,2380.2663939391728,18.51429518661865,0.0,1.0,0.0,0.0
SCD41 CO2,18.0918943578549,354.8067451974397,3018.8722679023053,10.883682298071863,0.0,0.0,0.0,1.0
SCD41 CO2,70.76330600503778,82.12334789466077,3281.684888983202,10.759137488883276,0.0,0.0,0.0,1.0
MQ-4 Methane,16.004834653979994,36.40089193481835,4775.5130480313155,19.114921867752656,0.0,1.0,0.0,0.0
MQ-4 Methane,13.417000697945323,163.94265652376254,3632.019655088418,4.938002615056273,0.0,1.0,0.0,0.0
MQ136 H2S,131.94623533474442,213.7589788550805,514.0229452229004,8.700001311013414,0.0,0.0,1.0,0.0
MQ-137 Ammonia,97.24037916158585,427.48504021086876,1789.521402041416,6.970697544146132,1.0,0.0,0.0,0.0
SCD41 CO2,59.49044417075157,352.60630622658715,2729.1208815027844,19.799472132405526,0.0,0.0,0.0,1.0
MQ136 H2S,107.38194821233216,477.947332298577,2630.767346884081,1.5262023003900753,0.0,0.0,1.0,0.0
MQ-137 Ammonia,62.31500291929623,178.25064520327695,925.8978883776288,12.335301339862252,1.0,0.0,0.0,0.0
MQ136 H2S,175.4393031407189,277.0265413160851,4471.732356588342,11.854333279465182,0.0,0.0,1.0,0.0
MQ-4 Methane,38.86657467873387,363.33883924617203,4875.868867346989,6.067502569629784,0.0,1.0,0.0,0.0
MQ-4 Methane,25.39486100795962,382.28140348518525,4664.737710900579,12.326665654274748,0.0,1.0,0.0,0.0
MQ136 H2S,34.48038536009934,348.4149566025175,4534.216556933469,4.404818969473098,0.0,0.0,1.0,0.0
SCD41 CO2,48.99124069526378,451.2987946110476,4890.726620506533,16.26580870562245,0.0,0.0,0.0,1.0
MQ136 H2S,35.92525461367376,35.51418671702122,4215.815156406513,9.773722237125895,0.0,0.0,1.0,0.0
MQ-137 Ammonia,164.37522639170044,419.7848897084482,2860.8459806208793,15.608178342870684,1.0,0.0,0.0,0.0
MQ-137 Ammonia,90.03794758523402,243.2366517880865,2606.8729460576096,14.176350236200912,1.0,0.0,0.0,0.0
MQ136 H2S,61.984597862183904,67.11689541402436,480.8826785989758,12.095338635373784,0.0,0.0,1.0,0.0
MQ-4 Methane,16.675389207613136,183.00559552399216,1470.3220377393357,12.559719190199653,0.0,1.0,0.0,0.0
MQ-137 Ammonia,156.79922035933402,432.7472267687635,1226.384849630555,3.578628145271178,1.0,0.0,0.0,0.0
MQ-4 Methane,110.17230437631376,162.79039032415415,4493.319706380062,0.5514699865305408,0.0,1.0,0.0,0.0
MQ-4 Methane,48.798716821890025,50.36508621399297,4222.944362682277,5.5881095296965295,0.0,1.0,0.0,0.0
MQ-137 Ammonia,107.03065438420933,179.83327635544146,3396.7046020249563,16.099353423893593,1.0,0.0,0.0,0.0
MQ-137 Ammonia,30.519311254558133,247.84865678596518,675.6876537189646,14.290110751900906,1.0,0.0,0.0,0.0
MQ-137 Ammonia,62.76959134111256,312.77400248097035,4063.6251501047204,15.431252709412213,1.0,0.0,0.0,0.0
MQ-137 Ammonia,189.63136221894587,435.1132333664307,4624.076873045258,16.17863008898028,1.0,0.0,0.0,0.0
MQ-4 Methane,142.52555449048586,368.4000940290877,3940.0993816389905,1.6121176613450388,0.0,1.0,0.0,0.0
MQ-4 Methane,65.57440002365345,39.18644035960602,4617.914039719644,8.94985173859859,0.0,1.0,0.0,0.0
MQ-137 Ammonia,137.1280319341494,476.5455428227155,1782.6790755893342,19.04129519588721,1.0,0.0,0.0,0.0
MQ-137 Ammonia,90.8437978341978,470.3511866434102,4938.8018188565175,15.870582591532365,1.0,0.0,0.0,0.0
MQ-4 Methane,164.96479289511015,256.00284178707625,2649.3898342802827,11.757339793636547,0.0,1.0,0.0,0.0
MQ-137 Ammonia,81.11314058297972,91.49567036018708,2744.3583580084983,6.354187343782683,1.0,0.0,0.0,0.0
MQ-137 Ammonia,164.23456060611906,136.90367757698957,4076.227103039007,7.512084054616717,1.0,0.0,0.0,0.0
SCD41 CO2,49.08822314907692,386.1935668934496,3710.240531800474,5.773510832929156,0.0,0.0,0.0,1.0
MQ-137 Ammonia,154.9924628681344,355.7116403657981,1734.2362730375785,3.382684081755907,1.0,0.0,0.0,0.0
MQ136 H2S,143.1526447208821,426.01713375401613,3733.359143317211,11.581768962658295,0.0,0.0,1.0,0.0
MQ-4 Methane,115.52318825675661,66.82803974171814,3474.7730154982187,3.0246674083395133,0.0,1.0,0.0,0.0
MQ-4 Methane,53.83638955935408,217.66082941475483,1353.7247573325633,9.650943750709137,0.0,1.0,0.0,0.0
MQ-137 Ammonia,167.8135757501954,387.4078859111341,1921.19798029125,15.993899522481192,1.0,0.0,0.0,0.0
MQ-137 Ammonia,71.78640977713361,437.3849497934273,3031.1669595514622,14.355906183430966,1.0,0.0,0.0,0.0
MQ-4 Methane,9.07353427215895,341.6608865831644,3315.9035445492277,10.282639077502445,0.0,1.0,0.0,0.0
MQ-137 Ammonia,35.84339679136051,317.4055221353987,1220.8812566373806,7.498843303719452,1.0,0.0,0.0,0.0
MQ-4 Methane,119.9040622841063,121.55732986808427,4901.460748573504,8.884751678860628,0.0,1.0,0.0,0.0
MQ136 H2S,77.32720852570748,334.4990145397818,1580.723064737936,15.518893252887722,0.0,0.0,1.0,0.0
MQ-4 Methane,44.98449333489548,460.12636910618795,3308.1889568858896,12.86065841289573,0.0,1.0,0.0,0.0
MQ-4 Methane,154.498169285756,137.22743336040668,587.4188538112506,5.775211116589186,0.0,1.0,0.0,0.0
MQ-137 Ammonia,199.8736105043388,484.82057333205154,2395.3820191766754,1.3418714798182525,1.0,0.0,0.0,0.0
MQ-4 Methane,30.691444616372596,170.53688960041765,2205.612712445124,4.089519122072208,0.0,1.0,0.0,0.0
MQ-137 Ammonia,54.77967731702023,31.179675481091262,4622.4183901476945,10.297534928646547,1.0,0.0,0.0,0.0
SCD41 CO2,89.32936594844251,156.6964519807489,646.2014748312419,4.31502894319652,0.0,0.0,0.0,1.0
SCD41 CO2,184.16753609614074,348.34938473600175,1082.3701966991962,19.490838076643612,0.0,0.0,0.0,1.0
SCD41 CO2,17.823039325151253,318.19441237046004,602.5384909756638,15.564706777995392,0.0,0.0,0.0,1.0
MQ-4 Methane,139.0952356446762,152.2729948195435,3065.1252403390017,5.721425673380304,0.0,1.0,0.0,0.0
MQ-137 Ammonia,14.145968402776116,109.95977696165129,2351.3155172908987,13.743450886315417,1.0,0.0,0.0,0.0
SCD41 CO2,102.76046214100965,52.02391126146442,1493.0868542022915,19.586892794158796,0.0,0.0,0.0,1.0
MQ136 H2S,57.87114236949015,377.6286747058182,1516.2128440838028,3.108317801263328,0.0,0.0,1.0,0.0
MQ136 H2S,114.29612700119284,292.26729164501876,1767.7976342258664,4.301050467918286,0.0,0.0,1.0,0.0
MQ136 H2S,116.09247256400867,94.93619893491423,1206.0699945946155,16.67372560499143,0.0,0.0,1.0,0.0
MQ-4 Methane,108.05669747570845,405.8959639712532,2016.096554453834,0.7384079104871588,0.0,1.0,0.0,0.0
MQ-4 Methane,138.12481482113608,176.00267220965173,674.492157287367,6.816922245224364,0.0,1.0,0.0,0.0
SCD41 CO2,64.10636685273822,300.47665896961405,3229.6384372182724,14.422864278443482,0.0,0.0,0.0,1.0
MQ136 H2S,75.22954260557992,61.83950220930272,3841.1767594670036,11.911733925756579,0.0,0.0,1.0,0.0
MQ-4 Methane,100.31895821465285,492.85092291560875,3610.6631663501516,7.910760775785004,0.0,1.0,0.0,0.0
MQ-4 Methane,132.95415267905656,477.78190196321805,4891.923777898563,11.655094793867018,0.0,1.0,0.0,0.0
MQ136 H2S,166.44192257808797,24.68058387099209,3081.0373390684085,8.500420584098569,0.0,0.0,1.0,0.0
MQ136 H2S,168.99511175050316,275.77743635015145,4010.8561501659597,18.24991744970831,0.0,0.0,1.0,0.0
MQ136 H2S,90.4059935264691,145.4003929731709,2478.898428432446,17.917754627388213,0.0,0.0,1.0,0.0
MQ136 H2S,37.41232073945368,301.5880224521762,2345.6459402469336,15.786585686986607,0.0,0.0,1.0,0.0
MQ-137 Ammonia,25.198549086617756,226.23587537819273,2638.3270247491664,6.324383006218328,1.0,0.0,0.0,0.0
MQ-137 Ammonia,184.96580661090823,351.8201143834631,1396.9924210694774,1.0628285838862388,1.0,0.0,0.0,0.0
MQ-4 Methane,74.07666980485405,439.39426791885825,4918.269662124648,2.688049286837294,0.0,1.0,0.0,0.0
MQ136 H2S,108.98874855993498,159.33115518406515,2950.5410783950483,14.798250938371813,0.0,0.0,1.0,0.0
SCD41 CO2,50.96109630827102,316.1799992084551,3834.9932634113907,14.754535012540188,0.0,0.0,0.0,1.0
MQ136 H2S,32.522773162521446,28.80353840435068,1251.9268302719124,4.980992483113849,0.0,0.0,1.0,0.0
MQ136 H2S,51.621134785143866,100.16961705415149,2068.2790080071054,2.9982377459145444,0.0,0.0,1.0,0.0
MQ-137 Ammonia,159.65456030289624,304.73084139044124,4410.086654781281,4.348183924269945,1.0,0.0,0.0,0.0
MQ-4 Methane,152.9797583334484,403.75588989732836,2266.267903393946,12.96663814289852,0.0,1.0,0.0,0.0
MQ-4 Methane,32.26011600763717,397.08834177696934,326.0738938472275,9.12816690288433,0.0,1.0,0.0,0.0
MQ-137 Ammonia,133.69817280437206,395.4171892658557,3593.307650599008,11.289400772701864,1.0,0.0,0.0,0.0
MQ136 H2S,199.9640585170742,300.8329497637286,592.7991941185262,1.485065169309625,0.0,0.0,1.0,0.0
MQ-137 Ammonia,150.99849380795197,166.36457983174625,2983.879544793177,8.488455058412411,1.0,0.0,0.0,0.0
SCD41 CO2,100.15467760206036,214.80590076431565,4770.877231879171,6.170988421602254,0.0,0.0,0.0,1.0
MQ-4 Methane,141.5636585329428,223.32124278760122,2081.4233242851938,18.45736720661038,0.0,1.0,0.0,0.0
MQ-4 Methane,57.0689896018682,49.93518970388705,1281.999445227087,15.750947937164208,0.0,1.0,0.0,0.0
MQ-137 Ammonia,20.1953802737985,419.85813096448015,1905.8694189190217,13.488031375286674,1.0,0.0,0.0,0.0
MQ-137 Ammonia,139.03939173776132,48.597321258773455,3664.339610068396,19.76567697720764,1.0,0.0,0.0,0.0
MQ136 H2S,124.43244006219297,339.31387373390686,3164.833365386801,1.2097779615536157,0.0,0.0,1.0,0.0
SCD41 CO2,171.74335287379768,118.29981410320872,4846.304054442345,4.974163917246265,0.0,0.0,0.0,1.0
SCD41 CO2,162.84494439910725,187.1952012073689,2959.343479725273,14.46448825571478,0.0,0.0,0.0,1.0
MQ-137 Ammonia,111.2766286042565,71.10426607997368,2114.6959839796577,8.444729191242793,1.0,0.0,0.0,0.0
MQ-137 Ammonia,126.3332459177568,213.81333907087367,1435.4874261638843,12.47522493661669,1.0,0.0,0.0,0.0
MQ136 H2S,132.47534950041805,248.58717034620656,357.8187415517942,2.8963382519535865,0.0,0.0,1.0,0.0
MQ-137 Ammonia,50.34645628290631,239.15592565416352,1866.7534617901313,19.072135418356705,1.0,0.0,0.0,0.0
MQ-4 Methane,19.00841185473925,326.8866326528269,4757.64157701764,13.292450002326301,0.0,1.0,0.0,0.0
MQ-137 Ammonia,31.091663001682655,158.3518320196318,4543.304589853401,1.1294249556080855,1.0,0.0,0.0,0.0
SCD41 CO2,163.002929179452,36.39371228080852,2193.2702385896396,12.892398966294001,0.0,0.0,0.0,1.0
SCD41 CO2,11.623353326548765,318.73904220893604,2953.277226964946,18.16162953063382,0.0,0.0,0.0,1.0
MQ-137 Ammonia,33.96599486043602,42.568254158558176,4884.738298069023,2.044285987347546,1.0,0.0,0.0,0.0
MQ-4 Methane,111.06233195150973,151.19035354989137,508.3246874687768,8.274665875987774,0.0,1.0,0.0,0.0
MQ-4 Methane,21.53389180645001,432.2505881470246,454.79440298045193,3.259762064251416,0.0,1.0,0.0,0.0
MQ136 H2S,189.13460041736445,259.0053165224463,620.8938698007615,3.086034380063753,0.0,0.0,1.0,0.0
SCD41 CO2,64.05353045081003,88.60544814403147,3422.387907460724,17.137715755943503,0.0,0.0,0.0,1.0
MQ-137 Ammonia,39.403479301312444,167.82329632912797,2152.3376766219826,8.27675702460375,1.0,0.0,0.0,0.0
MQ-4 Methane,187.5823361009348,316.81539671019385,1585.4945465447217,19.964308392837186,0.0,1.0,0.0,0.0
MQ-4 Methane,159.51184808424756,387.76060412867105,2990.748055587245,1.7374071134091216,0.0,1.0,0.0,0.0
MQ-4 Methane,143.56596462307596,251.4068963524781,2943.8608896913415,1.6074146565313816,0.0,1.0,0.0,0.0
SCD41 CO2,11.564634229329503,265.2141186780409,2868.5350815191623,0.6113439598483468,0.0,0.0,0.0,1.0
MQ136 H2S,12.893489855884152,490.8842908825391,3915.55223374698,13.97790849412962,0.0,0.0,1.0,0.0
MQ136 H2S,154.21933494652436,346.16185103420264,3609.9951386942325,10.311702282579803,0.0,0.0,1.0,0.0
SCD41 CO2,17.7784328245871,356.2279564477317,3300.4763935856345,19.883167937823604,0.0,0.0,0.0,1.0
SCD41 CO2,39.0438039330168,342.1701904346366,1461.3802581544178,19.308450094986277,0.0,0.0,0.0,1.0
MQ-137 Ammonia,179.64711450536944,423.23692010203297,2064.2213259935356,5.739257714893613,1.0,0.0,0.0,0.0
SCD41 CO2,190.81370423579088,239.21326578883273,465.8208904701869,3.7131235460207597,0.0,0.0,0.0,1.0
MQ-137 Ammonia,115.4776076698679,390.1308874782446,3783.460364871749,18.938023756742766,1.0,0.0,0.0,0.0
SCD41 CO2,67.11881604929063,188.83331556723596,634.7925837691579,10.983563561417599,0.0,0.0,0.0,1.0
MQ-137 Ammonia,29.56188691577861,285.3979807160392,3480.4291207352553,14.678573406506317,1.0,0.0,0.0,0.0
SCD41 CO2,153.4423538292813,418.2661454315259,4414.657794576846,3.5650456932285013,0.0,0.0,0.0,1.0
MQ-4 Methane,68.08586915051423,100.74591127706705,4727.131693354868,3.0461443420711882,0.0,1.0,0.0,0.0
MQ-137 Ammonia,125.68429731303313,408.6478609075379,2328.7952836282066,7.461766133825148,1.0,0.0,0.0,0.0
SCD41 CO2,199.89012538522147,359.4026715468625,2226.5789391246367,19.767191665150232,0.0,0.0,0.0,1.0
MQ136 H2S,123.80364210817157,351.3560228713623,4946.735352386372,0.7764856590645495,0.0,0.0,1.0,0.0
SCD41 CO2,18.452118538122345,32.87108259104569,2145.153885216612,12.706933806891085,0.0,0.0,0.0,1.0
MQ-4 Methane,164.1564490408477,382.11644950046514,1843.5275817744716,8.048183115776524,0.0,1.0,0.0,0.0
MQ-137 Ammonia,110.17550575750597,393.7089462665039,334.47176889896315,6.362447130120702,1.0,0.0,0.0,0.0
MQ-4 Methane,181.51542496313996,21.74974704469759,1002.1947258205257,13.101536219282242,0.0,1.0,0.0,0.0
SCD41 CO2,19.618866708541994,161.54961937753512,1171.8679551492119,3.951332814933524,0.0,0.0,0.0,1.0
SCD41 CO2,43.26776904146869,450.1254029726324,1435.5958681265397,5.5591193052802925,0.0,0.0,0.0,1.0
SCD41 CO2,34.056292261295496,296.8252143504626,4247.00843115507,18.881474168059697,0.0,0.0,0.0,1.0
SCD41 CO2,20.138025094802224,403.3686703884807,3133.4803568786792,17.84280416747984,0.0,0.0,0.0,1.0
